Overall_Rating,Sentiment_Label,Review_Title,Review,combined_text,cleaned_text,tokens_str,Type Of Traveller,Seat Type,Route,Recommended,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money
3,Negative,delayed 2 hours arriving in Yangon,"Aircraft was delayed 2 hours arriving in Yangon. Slow boarding of bags caused another 30 min delay. The staff never explained the delay, guess it is common. People missed their connections and if they were two separate bookings on AirAsia they would be responsible to buy a new ticket. Ridiculous if you ask me when it was AirAsia's fault they missed a connection. Decent cabin service. But AirAsia's late rate along with them constantly jacking with schedules and moving flights makes me not a fan.","delayed 2 hours arriving in Yangon Aircraft was delayed 2 hours arriving in Yangon. Slow boarding of bags caused another 30 min delay. The staff never explained the delay, guess it is common. People missed their connections and if they were two separate bookings on AirAsia they would be responsible to buy a new ticket. Ridiculous if you ask me when it was AirAsia's fault they missed a connection. Decent cabin service. But AirAsia's late rate along with them constantly jacking with schedules and moving flights makes me not a fan.",delayed hours arriving in yangon aircraft was delayed hours arriving in yangon slow boarding of bags caused another min delay the staff never explained the delay guess it is common people missed their connections and if they were two separate bookings on airasia they would be responsible to buy a new ticket ridiculous if you ask me when it was airasia s fault they missed a connection decent cabin service but airasia s late rate along with them constantly jacking with schedules and moving flights makes me not a fan,delayed hours arriving yangon aircraft delayed hours arriving yangon slow boarding bags caused another min delay staff never explained delay guess common people missed connections two separate bookings responsible buy new ticket ridiculous ask fault missed connection decent cabin service late rate along constantly jacking schedules moving flights makes fan,Solo Leisure,Economy Class,Yangon to Kuala Lumpur,no,3.0,4.0,1.0,3.0,3
1,Negative,rescheduled several times,My flight was cancelled and rescheduled several times and was 36 hours after my original arrival time. This resulted in an extra hotel night and new flights at the last minute. I filed a claim from Nov 2022 and still have not received my refund. You get a bot that just runs in circle. I am not a rare case and many are in my situation. I will not stay quite on this matter.,rescheduled several times My flight was cancelled and rescheduled several times and was 36 hours after my original arrival time. This resulted in an extra hotel night and new flights at the last minute. I filed a claim from Nov 2022 and still have not received my refund. You get a bot that just runs in circle. I am not a rare case and many are in my situation. I will not stay quite on this matter.,rescheduled several times my flight was cancelled and rescheduled several times and was hours after my original arrival time this resulted in an extra hotel night and new flights at the last minute i filed a claim from nov and still have not received my refund you get a bot that just runs in circle i am not a rare case and many are in my situation i will not stay quite on this matter,rescheduled several times cancelled rescheduled several times hours original arrival time resulted extra hotel night new flights last minute filed claim nov received refund bot runs circle rare case situation stay matter,Couple Leisure,Economy Class,Bangkok to Male,no,1.0,1.0,,1.0,1
6,Neutral,need some constant improvement,"The cabin of the aircraft was clean and well-maintained. The seats were comfortable enough for the duration of the flight, but legroom was modest I found it difficult to stretch my legs. There is no in-flight entertainment system. The pre-booked meal was tasty. Overall satisfied but need some constant improvement.","need some constant improvement The cabin of the aircraft was clean and well-maintained. The seats were comfortable enough for the duration of the flight, but legroom was modest I found it difficult to stretch my legs. There is no in-flight entertainment system. The pre-booked meal was tasty. Overall satisfied but need some constant improvement.",need some constant improvement the cabin of the aircraft was clean and well maintained the seats were comfortable enough for the duration of the flight but legroom was modest i found it difficult to stretch my legs there is no in flight entertainment system the pre booked meal was tasty overall satisfied but need some constant improvement,need constant improvement cabin aircraft clean maintained seats comfortable enough duration legroom modest found difficult stretch legs entertainment system pre booked meal tasty overall satisfied need constant improvement,Solo Leisure,Economy Class,Ho Chi Minh City to Kuala Lumpur,yes,3.0,4.0,4.0,4.0,5
6,Neutral,very moderate experience,"Smooth experience from check-in until arrival. The flight is on time and proper boarding announcements and arrangements. The is no IFE but we can connect to wifi for entertainment - the Wi-Fi connection was pretty bad. The pre-booked food was good. Smooth take-off and landing. The cabin crew was super nice. Overall, very moderate experience with this airline.","very moderate experience Smooth experience from check-in until arrival. The flight is on time and proper boarding announcements and arrangements. The is no IFE but we can connect to wifi for entertainment - the Wi-Fi connection was pretty bad. The pre-booked food was good. Smooth take-off and landing. The cabin crew was super nice. Overall, very moderate experience with this airline.",very moderate experience smooth experience from check in until arrival the flight is on time and proper boarding announcements and arrangements the is no ife but we can connect to wifi for entertainment the wi fi connection was pretty bad the pre booked food was good smooth take off and landing the cabin crew was super nice overall very moderate experience with this airline,moderate experience smooth experience check arrival time proper boarding announcements arrangements ife connect wifi entertainment connection pretty bad pre booked food good smooth take landing cabin crew super nice overall moderate experience,Solo Leisure,Economy Class,Kuala Lumpur to Ho chi Minh,yes,3.0,4.0,4.0,4.0,5
5,Neutral,hate their non reliability,"AirAsia is a budget airline. They seem to do ok once its a given that your flight will occur. My biggest complaint with them is that they constantly are changing their schedule, withdrawing flights, changing times of them etc. Out of the 12 flights I had booked with them over half were changed, some by many hours even to different days. This makes scheduling with them extremely difficult. This flight was ok, and originally a nonstop to KUL. But had to waist 3/4 of a day getting to KUL with a stopover in DMK for this flight. Seats are tiny and squished together. Thats what you get for a cheap price. Cant fault them for that. Just hate their non reliability of any flight booked more than a week out.","hate their non reliability AirAsia is a budget airline. They seem to do ok once its a given that your flight will occur. My biggest complaint with them is that they constantly are changing their schedule, withdrawing flights, changing times of them etc. Out of the 12 flights I had booked with them over half were changed, some by many hours even to different days. This makes scheduling with them extremely difficult. This flight was ok, and originally a nonstop to KUL. But had to waist 3/4 of a day getting to KUL with a stopover in DMK for this flight. Seats are tiny and squished together. Thats what you get for a cheap price. Cant fault them for that. Just hate their non reliability of any flight booked more than a week out.",hate their non reliability airasia is a budget airline they seem to do ok once its a given that your flight will occur my biggest complaint with them is that they constantly are changing their schedule withdrawing flights changing times of them etc out of the flights i had booked with them over half were changed some by many hours even to different days this makes scheduling with them extremely difficult this flight was ok and originally a nonstop to kul but had to waist of a day getting to kul with a stopover in dmk for this flight seats are tiny and squished together thats what you get for a cheap price cant fault them for that just hate their non reliability of any flight booked more than a week out,hate non reliability budget seem given occur biggest complaint constantly changing schedule withdrawing flights changing times etc flights booked half changed hours different days makes scheduling extremely difficult originally nonstop kul waist day getting kul stopover dmk seats tiny squished together thats cheap price cant fault hate non reliability any booked week,Solo Leisure,Economy Class,Vientiane to Bangkok,no,2.0,2.0,1.0,4.0,5
6,Neutral,legroom was tight,"The flight is on time and proper boarding announcements and arrangements. The is no IFE. The pre-booked meal was tasty and properly served by Cabin Crew. The seats were comfortable enough for the duration of the flight, but legroom was tight and I found it difficult to stretch my legs. Smooth take-off and landing. Kudos to the flight crew. Overall, very moderate experience with many more ways to improve.","legroom was tight The flight is on time and proper boarding announcements and arrangements. The is no IFE. The pre-booked meal was tasty and properly served by Cabin Crew. The seats were comfortable enough for the duration of the flight, but legroom was tight and I found it difficult to stretch my legs. Smooth take-off and landing. Kudos to the flight crew. Overall, very moderate experience with many more ways to improve.",legroom was tight the flight is on time and proper boarding announcements and arrangements the is no ife the pre booked meal was tasty and properly served by cabin crew the seats were comfortable enough for the duration of the flight but legroom was tight and i found it difficult to stretch my legs smooth take off and landing kudos to the flight crew overall very moderate experience with many more ways to improve,legroom tight time proper boarding announcements arrangements ife pre booked meal tasty properly served cabin crew seats comfortable enough duration legroom tight found difficult stretch legs smooth take landing kudos crew overall moderate experience ways improve,Solo Leisure,Economy Class,Kuala Lumpur to Bangkok,yes,2.0,4.0,4.0,4.0,5
1,Negative,so many unnecessary problems,"By far the worst airlines in Asia. The customer service is made to be as long and difficult as possible. You either have to find solutions with BO chat (useless AI) or hope they respond to your email. My account got locked by AirAsia because they don't send me an OTP for verification, even though I verified myself months ago. Due to my account being locked I can not proceed to make flight changes and any other bookings for a trip I am planning. It takes 15 to 20 days to unlock my account. I asked if they can cancel all my flights instead and give me a refund because of the problem and delays they caused and I can't get my money back. I highly recommend that you should check out any other alternative airlines first before using AirAsia. It can be a smooth transaction but whenever there is a problem you are going to have so many unnecessary problems with this airlines. And you will struggle to find a real person to talk to because everything is with the AI chat system first.","so many unnecessary problems By far the worst airlines in Asia. The customer service is made to be as long and difficult as possible. You either have to find solutions with BO chat (useless AI) or hope they respond to your email. My account got locked by AirAsia because they don't send me an OTP for verification, even though I verified myself months ago. Due to my account being locked I can not proceed to make flight changes and any other bookings for a trip I am planning. It takes 15 to 20 days to unlock my account. I asked if they can cancel all my flights instead and give me a refund because of the problem and delays they caused and I can't get my money back. I highly recommend that you should check out any other alternative airlines first before using AirAsia. It can be a smooth transaction but whenever there is a problem you are going to have so many unnecessary problems with this airlines. And you will struggle to find a real person to talk to because everything is with the AI chat system first.",so many unnecessary problems by far the worst airlines in asia the customer service is made to be as long and difficult as possible you either have to find solutions with bo chat useless ai or hope they respond to your email my account got locked by airasia because they don t send me an otp for verification even though i verified myself months ago due to my account being locked i can not proceed to make flight changes and any other bookings for a trip i am planning it takes to days to unlock my account i asked if they can cancel all my flights instead and give me a refund because of the problem and delays they caused and i can t get my money back i highly recommend that you should check out any other alternative airlines first before using airasia it can be a smooth transaction but whenever there is a problem you are going to have so many unnecessary problems with this airlines and you will struggle to find a real person to talk to because everything is with the ai chat system first,unnecessary problems far worst airlines customer service made long difficult possible either find solutions chat useless hope respond email account locked send otp verification though verified months ago due account locked proceed make changes any bookings trip planning takes days unlock account asked cancel flights instead give refund problem delays caused money back highly recommend check any alternative airlines first using smooth transaction whenever problem going unnecessary problems airlines struggle find real person talk everything chat system first,Family Leisure,Economy Class,Kuala Lumpur to Langkawi,no,1.0,1.0,,1.0,1
6,Neutral,crew was polite and responsive,"The check-in process at the airport was relatively efficient, with attentive staff members assisting passengers. The boarding process, though, felt a bit disorganized. It took longer than expected, and there was minimal communication from the gate agents regarding the delay. The cabin of the aircraft was clean and well-maintained, but it appeared a bit dated. The seats were comfortable enough for the duration of the flight, but legroom was limited. I found it difficult to stretch my legs. The cabin crew on my flight was polite and responsive to passenger requests. However, the service was modest at best. But, the food was good. In summary, AirAsia provides a modest service that gets the job done but doesn't go above and beyond. If you're looking for a budget-friendly option and don't mind sacrificing some frills, this airline could be a suitable choice.","crew was polite and responsive The check-in process at the airport was relatively efficient, with attentive staff members assisting passengers. The boarding process, though, felt a bit disorganized. It took longer than expected, and there was minimal communication from the gate agents regarding the delay. The cabin of the aircraft was clean and well-maintained, but it appeared a bit dated. The seats were comfortable enough for the duration of the flight, but legroom was limited. I found it difficult to stretch my legs. The cabin crew on my flight was polite and responsive to passenger requests. However, the service was modest at best. But, the food was good. In summary, AirAsia provides a modest service that gets the job done but doesn't go above and beyond. If you're looking for a budget-friendly option and don't mind sacrificing some frills, this airline could be a suitable choice.",crew was polite and responsive the check in process at the airport was relatively efficient with attentive staff members assisting passengers the boarding process though felt a bit disorganized it took longer than expected and there was minimal communication from the gate agents regarding the delay the cabin of the aircraft was clean and well maintained but it appeared a bit dated the seats were comfortable enough for the duration of the flight but legroom was limited i found it difficult to stretch my legs the cabin crew on my flight was polite and responsive to passenger requests however the service was modest at best but the food was good in summary airasia provides a modest service that gets the job done but doesn t go above and beyond if you re looking for a budget friendly option and don t mind sacrificing some frills this airline could be a suitable choice,crew polite responsive check process airport relatively efficient attentive staff members assisting passengers boarding process though felt bit disorganized took longer expected minimal communication gate agents regarding delay cabin aircraft clean maintained appeared bit dated seats comfortable enough duration legroom limited found difficult stretch legs cabin crew polite responsive passenger requests however service modest best food good summary provides modest service gets job done beyond looking budget friendly option mind sacrificing frills suitable choice,Solo Leisure,Economy Class,Denpasar to Kuala Lumpur,yes,3.0,4.0,5.0,4.0,5
1,Negative,worst customer service I have experienced,"Absolute worst customer service I have ever experienced. We paid approx $1300 AUD for flexible fare tickets, tried countless times to contact them to change the dates with 10 days notice, were emailing back and forth everyday and the dates still weren't changed on the day we had to fly. There is no phone number or person you can talk to, each email is written by a different person asking the same questions and not doing anything to help you. Avoid this airline at all costs, we now have to look into how to legally get our money back but because they have no offices in Australia how is this possible?","worst customer service I have experienced Absolute worst customer service I have ever experienced. We paid approx $1300 AUD for flexible fare tickets, tried countless times to contact them to change the dates with 10 days notice, were emailing back and forth everyday and the dates still weren't changed on the day we had to fly. There is no phone number or person you can talk to, each email is written by a different person asking the same questions and not doing anything to help you. Avoid this airline at all costs, we now have to look into how to legally get our money back but because they have no offices in Australia how is this possible?",worst customer service i have experienced absolute worst customer service i have ever experienced we paid approx aud for flexible fare tickets tried countless times to contact them to change the dates with days notice were emailing back and forth everyday and the dates still weren t changed on the day we had to fly there is no phone number or person you can talk to each email is written by a different person asking the same questions and not doing anything to help you avoid this airline at all costs we now have to look into how to legally get our money back but because they have no offices in australia how is this possible,worst customer service experienced absolute worst customer service ever experienced paid approx aud flexible fare tickets tried countless times contact change dates days notice emailing back forth everyday dates changed day phone number person talk email written different person asking questions anything help avoid costs look into legally money back offices australia possible,Family Leisure,Economy Class,Gold Coast to Kuala Lumpur,no,1.0,1.0,1.0,1.0,1
1,Negative,plane was clean,"I travelled by Air Asia recently, on an afternoon flight from Delhi to Kochi (I5 549). I had booked the ticket about 2-3 weeks in advance, and got a very good deal on it. The check-in was smooth. There was some delay at the gate and boarding had not started till the scheduled time for departure. Eventually we boarded about 15 Mins beyond the scheduled departure time. The take-off was quite perfect! However, the rest of the flight was smooth, except for one patch of turbulence. The plane was clean and the seat was comfortable. Even though my seat was in 24 row, leg space was not an issue. This flight was an exception. The cabin crew, especially Mr Zebran, were extremely attentive and polite. He made me feel like an honoured guest. Also the food quality was excellent. The landing at Kochi was smooth and the luggage arrived on time. Extra marks for the hospitable cabin crew! Kudos to the team and Obviously Air Asia. Will fly back soon","plane was clean I travelled by Air Asia recently, on an afternoon flight from Delhi to Kochi (I5 549). I had booked the ticket about 2-3 weeks in advance, and got a very good deal on it. The check-in was smooth. There was some delay at the gate and boarding had not started till the scheduled time for departure. Eventually we boarded about 15 Mins beyond the scheduled departure time. The take-off was quite perfect! However, the rest of the flight was smooth, except for one patch of turbulence. The plane was clean and the seat was comfortable. Even though my seat was in 24 row, leg space was not an issue. This flight was an exception. The cabin crew, especially Mr Zebran, were extremely attentive and polite. He made me feel like an honoured guest. Also the food quality was excellent. The landing at Kochi was smooth and the luggage arrived on time. Extra marks for the hospitable cabin crew! Kudos to the team and Obviously Air Asia. Will fly back soon",plane was clean i travelled by air asia recently on an afternoon flight from delhi to kochi i i had booked the ticket about weeks in advance and got a very good deal on it the check in was smooth there was some delay at the gate and boarding had not started till the scheduled time for departure eventually we boarded about mins beyond the scheduled departure time the take off was quite perfect however the rest of the flight was smooth except for one patch of turbulence the plane was clean and the seat was comfortable even though my seat was in row leg space was not an issue this flight was an exception the cabin crew especially mr zebran were extremely attentive and polite he made me feel like an honoured guest also the food quality was excellent the landing at kochi was smooth and the luggage arrived on time extra marks for the hospitable cabin crew kudos to the team and obviously air asia will fly back soon,plane clean travelled recently afternoon delhi kochi booked ticket weeks advance good deal check smooth delay gate boarding started till scheduled time departure eventually boarded mins beyond scheduled departure time take perfect however rest smooth except patch turbulence plane clean seat comfortable though seat row leg space issue exception cabin crew especially zebran extremely attentive polite made feel honoured guest food quality excellent landing kochi smooth luggage arrived time extra marks hospitable cabin crew kudos team obviously back soon,Business,Economy Class,Delhi to Kochi,yes,5.0,5.0,5.0,5.0,5
1,Negative,tried to change my flight booking,"I tried to change my flight booking and even downloaded the mobile app to do it, but the system did not allow me because its within 48 hours of the flight. What kind of rule is that? Plans change, people need to change their flights. I tried to find a contact number for customer service and searched everywhere, but was not able to find one with a live person. All I can find was a complaint line where I had to leave a message. Now I have to leave the ticket as a loss and buy a new one, Im not buying from AirAsia.","tried to change my flight booking I tried to change my flight booking and even downloaded the mobile app to do it, but the system did not allow me because its within 48 hours of the flight. What kind of rule is that? Plans change, people need to change their flights. I tried to find a contact number for customer service and searched everywhere, but was not able to find one with a live person. All I can find was a complaint line where I had to leave a message. Now I have to leave the ticket as a loss and buy a new one, Im not buying from AirAsia.",tried to change my flight booking i tried to change my flight booking and even downloaded the mobile app to do it but the system did not allow me because its within hours of the flight what kind of rule is that plans change people need to change their flights i tried to find a contact number for customer service and searched everywhere but was not able to find one with a live person all i can find was a complaint line where i had to leave a message now i have to leave the ticket as a loss and buy a new one im not buying from airasia,tried change booking tried change booking downloaded mobile app system allow within hours kind rule plans change people need change flights tried find contact number customer service searched everywhere able find live person find complaint line leave message leave ticket loss buy new buying,Solo Leisure,Economy Class,Hong Kong to Jakarta via Kuala Lumpur,no,,,,1.0,1
1,Negative,There is no customer service,"Air Asia what a joke. Their website doesn't work. Their check in machines at the airport don't work. There is no customer service. There are no offices. There are no phone numbers to call. You pay for a minimum of 20kg for luggage regardless of the actual weight (and the price goes up from there if you are the slightest overweight) You are jammed into seats like sardines. Worst flight I have ever taken. They say they will give you credit for your flights. Don't believe them. Your Air Asia account remains blank - no current bookings, no past bookings, no credit history, nothing in any of the folders. Make sure you have your own copy of all flight details cause you won't get them from their website or your Air Asia account. I booked online. When I received my ticket it had the wrong name, birth date and gender. What? I spent weeks hunting down a way to contact them to get it changed. Eventually I just abandoned the flight and booked on another one.","There is no customer service Air Asia what a joke. Their website doesn't work. Their check in machines at the airport don't work. There is no customer service. There are no offices. There are no phone numbers to call. You pay for a minimum of 20kg for luggage regardless of the actual weight (and the price goes up from there if you are the slightest overweight) You are jammed into seats like sardines. Worst flight I have ever taken. They say they will give you credit for your flights. Don't believe them. Your Air Asia account remains blank - no current bookings, no past bookings, no credit history, nothing in any of the folders. Make sure you have your own copy of all flight details cause you won't get them from their website or your Air Asia account. I booked online. When I received my ticket it had the wrong name, birth date and gender. What? I spent weeks hunting down a way to contact them to get it changed. Eventually I just abandoned the flight and booked on another one.",there is no customer service air asia what a joke their website doesn t work their check in machines at the airport don t work there is no customer service there are no offices there are no phone numbers to call you pay for a minimum of kg for luggage regardless of the actual weight and the price goes up from there if you are the slightest overweight you are jammed into seats like sardines worst flight i have ever taken they say they will give you credit for your flights don t believe them your air asia account remains blank no current bookings no past bookings no credit history nothing in any of the folders make sure you have your own copy of all flight details cause you won t get them from their website or your air asia account i booked online when i received my ticket it had the wrong name birth date and gender what i spent weeks hunting down a way to contact them to get it changed eventually i just abandoned the flight and booked on another one,customer service joke website work check machines airport work customer service offices phone numbers call pay minimum luggage regardless actual weight price goes slightest overweight jammed into seats sardines worst ever taken say give credit flights believe account remains blank current bookings past bookings credit history nothing any folders make sure copy details cause website account booked online received ticket wrong name birth date gender spent weeks hunting way contact changed eventually abandoned booked another,Solo Leisure,Economy Class,Kuala Lumpur to Siem Reap,no,1.0,3.0,2.0,2.0,2
9,Positive,the best low cost airline,"Air Asia, for me the best low cost airline. Friendly staff, both on ground and in air. Unusual food served in flight (see picture) was very nice and at affordable price. Flight attendants were extremely friendly not like experience I had with other airlines. Captain made proper announcements, again better than other low cost airlines. 4 Star's from me.","the best low cost airline Air Asia, for me the best low cost airline. Friendly staff, both on ground and in air. Unusual food served in flight (see picture) was very nice and at affordable price. Flight attendants were extremely friendly not like experience I had with other airlines. Captain made proper announcements, again better than other low cost airlines. 4 Star's from me.",the best low cost airline air asia for me the best low cost airline friendly staff both on ground and in air unusual food served in flight see picture was very nice and at affordable price flight attendants were extremely friendly not like experience i had with other airlines captain made proper announcements again better than other low cost airlines star s from me,best low cost best low cost friendly staff ground unusual food served see picture nice affordable price attendants extremely friendly experience airlines captain made proper announcements better low cost airlines star,Business,Economy Class,Taipei to Manila,yes,5.0,5.0,4.0,4.0,4
1,Negative,terrible experience,"Flight time was 19:35 at L16 gate, but changed to gate L4, and changed to gate L9, finally delayed to on boarding time to be 22:55 without any explanation. This is terrible experience.","terrible experience Flight time was 19:35 at L16 gate, but changed to gate L4, and changed to gate L9, finally delayed to on boarding time to be 22:55 without any explanation. This is terrible experience.",terrible experience flight time was at l gate but changed to gate l and changed to gate l finally delayed to on boarding time to be without any explanation this is terrible experience,terrible experience time gate changed gate changed gate finally delayed boarding time without any explanation terrible experience,Family Leisure,Economy Class,Kuala Lumpur to Ho chi Minh,no,1.0,3.0,,1.0,1
1,Negative,have to pay for everything,"The staff of the ground office was terrible. They did not help us and only made it so difficult, it took so long in the line that we almost missed our airplane. I never experienced such a bad airplane service. You have to pay for everything and no service at all.","have to pay for everything The staff of the ground office was terrible. They did not help us and only made it so difficult, it took so long in the line that we almost missed our airplane. I never experienced such a bad airplane service. You have to pay for everything and no service at all.",have to pay for everything the staff of the ground office was terrible they did not help us and only made it so difficult it took so long in the line that we almost missed our airplane i never experienced such a bad airplane service you have to pay for everything and no service at all,pay everything staff ground office terrible help made difficult took long line almost missed airplane never experienced bad airplane service pay everything service,Family Leisure,Economy Class,Kuala Lumpur to Singapore,no,2.0,2.0,,1.0,1
1,Negative,impossible to contact them,My flight was cancelled and I processed a refund. Never got the money back despite contacting the Customer Service. It's impossible to contact them in other ways.,impossible to contact them My flight was cancelled and I processed a refund. Never got the money back despite contacting the Customer Service. It's impossible to contact them in other ways.,impossible to contact them my flight was cancelled and i processed a refund never got the money back despite contacting the customer service it s impossible to contact them in other ways,impossible contact cancelled processed refund never money back despite contacting customer service impossible contact ways,Solo Leisure,Economy Class,Manila to Bacolod,no,1.0,1.0,1.0,1.0,1
1,Negative,will never fly this airline again,"After booking, AirAsia cancelled departure flight citing ""operations reason"". Have to change flight to 1 day earlier. Next day AirAsia cancelled return flight also citing ""operations reason"". This caused travel schedule plans to be greatly hampered & I have to change hotel bookings etc. This is my 3rd time AirAsia cancelled flights abruptly causing inconvenience. I will never fly this airline again!","will never fly this airline again After booking, AirAsia cancelled departure flight citing ""operations reason"". Have to change flight to 1 day earlier. Next day AirAsia cancelled return flight also citing ""operations reason"". This caused travel schedule plans to be greatly hampered & I have to change hotel bookings etc. This is my 3rd time AirAsia cancelled flights abruptly causing inconvenience. I will never fly this airline again!",will never fly this airline again after booking airasia cancelled departure flight citing operations reason have to change flight to day earlier next day airasia cancelled return flight also citing operations reason this caused travel schedule plans to be greatly hampered i have to change hotel bookings etc this is my rd time airasia cancelled flights abruptly causing inconvenience i will never fly this airline again,never booking cancelled departure citing operations reason change day earlier next day cancelled return citing operations reason caused travel schedule plans greatly hampered change hotel bookings etc time cancelled flights abruptly causing inconvenience never,Family Leisure,Economy Class,Johor Bahru to Surabaya,no,1.0,1.0,1.0,1.0,2
1,Negative,never flying with AirAsia again,"First, we order a ticket that doesnt go through, the site tells us that there was an error. Suddenly we receive an email saying it anyways went through. However, the ticket suddenly had the wrong date, which we only realized when standing in the airport. We knew that we had not put the wrong date, because we both checked through everything before submitting the order, and it was further proven later when air Asia again sent a wrong date after having spoken with them on the phone. When standing in the airport in need of another ticket, AirAsia did not help us get the date adjusted unless we paid a huge amount of money. We had to pay still to pay to change our tickets, even though it was never our mistake. Afterwards, we had to call the customer service 5 times, because every time they sent an adjusted offer there was a mistake. Once the wrong flight, another time the wrong time, and then again the wrong date. Only in the end we got it right after having called 5 times. When we then fly from Krabi to Kuala Lumpur where we have to transfer, we have to pick up our luggage and check in again. We were waiting for our luggage for 30 minutes before it arrived. We then ran to the check in counter arriving 10 minutes after the gate closed and the employee did not help us. He said it was too late and we need to buy new tickets. He said that we should know the airline policy of closing the check in counter when there is 1 hour until the flight leaves and that we should have booked flights with longer time apart. I am furious and I am never flying with AirAsia again.","never flying with AirAsia again First, we order a ticket that doesnt go through, the site tells us that there was an error. Suddenly we receive an email saying it anyways went through. However, the ticket suddenly had the wrong date, which we only realized when standing in the airport. We knew that we had not put the wrong date, because we both checked through everything before submitting the order, and it was further proven later when air Asia again sent a wrong date after having spoken with them on the phone. When standing in the airport in need of another ticket, AirAsia did not help us get the date adjusted unless we paid a huge amount of money. We had to pay still to pay to change our tickets, even though it was never our mistake. Afterwards, we had to call the customer service 5 times, because every time they sent an adjusted offer there was a mistake. Once the wrong flight, another time the wrong time, and then again the wrong date. Only in the end we got it right after having called 5 times. When we then fly from Krabi to Kuala Lumpur where we have to transfer, we have to pick up our luggage and check in again. We were waiting for our luggage for 30 minutes before it arrived. We then ran to the check in counter arriving 10 minutes after the gate closed and the employee did not help us. He said it was too late and we need to buy new tickets. He said that we should know the airline policy of closing the check in counter when there is 1 hour until the flight leaves and that we should have booked flights with longer time apart. I am furious and I am never flying with AirAsia again.",never flying with airasia again first we order a ticket that doesnt go through the site tells us that there was an error suddenly we receive an email saying it anyways went through however the ticket suddenly had the wrong date which we only realized when standing in the airport we knew that we had not put the wrong date because we both checked through everything before submitting the order and it was further proven later when air asia again sent a wrong date after having spoken with them on the phone when standing in the airport in need of another ticket airasia did not help us get the date adjusted unless we paid a huge amount of money we had to pay still to pay to change our tickets even though it was never our mistake afterwards we had to call the customer service times because every time they sent an adjusted offer there was a mistake once the wrong flight another time the wrong time and then again the wrong date only in the end we got it right after having called times when we then fly from krabi to kuala lumpur where we have to transfer we have to pick up our luggage and check in again we were waiting for our luggage for minutes before it arrived we then ran to the check in counter arriving minutes after the gate closed and the employee did not help us he said it was too late and we need to buy new tickets he said that we should know the airline policy of closing the check in counter when there is hour until the flight leaves and that we should have booked flights with longer time apart i am furious and i am never flying with airasia again,never flying first order ticket doesnt site tells error suddenly receive email saying anyways went however ticket suddenly wrong date realized standing airport knew put wrong date checked everything submitting order proven later sent wrong date spoken phone standing airport need another ticket help date adjusted unless paid huge amount money pay pay change tickets though never mistake afterwards call customer service times every time sent adjusted offer mistake wrong another time wrong time wrong date end right called times krabi kuala lumpur transfer pick luggage check waiting luggage minutes arrived ran check counter arriving minutes gate closed employee help late need buy new tickets know policy closing check counter hour leaves booked flights longer time apart furious never flying,Couple Leisure,Economy Class,Krabi to Kuala Lumpur,no,1.0,1.0,,1.0,1
1,Negative,we got two different seats,Me and my husband we have one booking number and when we where checking in we got two different seats and when we asked the desk crew they said to us we have to pay money and that is not fair.  We will not travel with this AirAsia anymore,we got two different seats Me and my husband we have one booking number and when we where checking in we got two different seats and when we asked the desk crew they said to us we have to pay money and that is not fair.  We will not travel with this AirAsia anymore,we got two different seats me and my husband we have one booking number and when we where checking in we got two different seats and when we asked the desk crew they said to us we have to pay money and that is not fair we will not travel with this airasia anymore,two different seats husband booking number checking two different seats asked desk crew pay money fair travel anymore,Couple Leisure,Economy Class,Singapore to Yogyakarta,no,1.0,1.0,,1.0,1
5,Neutral,hand luggage exceeded the weight limit,"It was my first time flying with Air Asia. We flew from Hong Kong to Manila with my family and friends. The flight itself was fine. Some of our hand carry luggage exceeded the weight limit. The lady who checked our luggage scolded us even I told her already that we will check in the excess weight. We opened our luggage so we can take out valuable items and when she saw us doing that she said, I will give you 10 mins to finish that otherwise you cannot board the aircraft.","hand luggage exceeded the weight limit It was my first time flying with Air Asia. We flew from Hong Kong to Manila with my family and friends. The flight itself was fine. Some of our hand carry luggage exceeded the weight limit. The lady who checked our luggage scolded us even I told her already that we will check in the excess weight. We opened our luggage so we can take out valuable items and when she saw us doing that she said, I will give you 10 mins to finish that otherwise you cannot board the aircraft.",hand luggage exceeded the weight limit it was my first time flying with air asia we flew from hong kong to manila with my family and friends the flight itself was fine some of our hand carry luggage exceeded the weight limit the lady who checked our luggage scolded us even i told her already that we will check in the excess weight we opened our luggage so we can take out valuable items and when she saw us doing that she said i will give you mins to finish that otherwise you cannot board the aircraft,hand luggage exceeded weight limit first time flying hong kong manila family friends fine hand carry luggage exceeded weight limit lady checked luggage scolded told already check excess weight opened luggage take valuable items saw give mins finish otherwise cannot board aircraft,Family Leisure,Economy Class,Hong Kong to Manila,no,3.0,5.0,1.0,1.0,3
